Class,Class_fullname,Approach,Response_model_form,Response_model_index,Response_model_goal,Response_model_detail,Approach2,Approach3,Stringency,Indicator_Type,Indicator,Threshold_value,Flag
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,High,Biointegrity,CSCI,0.92,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Intermediate,Biointegrity,CSCI,0.79,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Low,Biointegrity,CSCI,0.63,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,High,Biointegrity,CSCI,0.69,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Intermediate,Biointegrity,CSCI,0.54,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Low,Biointegrity,CSCI,0.46,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,High,Biointegrity,CSCI,0.89,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Intermediate,Biointegrity,CSCI,0.85,Biointegrity goal is higher than reference.
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Low,Biointegrity,CSCI,0.71,Biointegrity goal is higher than reference.
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,High,Biointegrity,CSCI,0.85,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Intermediate,Biointegrity,CSCI,0.67,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Low,Biointegrity,CSCI,0.52,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,High,Biointegrity,CSCI,0.74,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Intermediate,Biointegrity,CSCI,0.67,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Low,Biointegrity,CSCI,0.55,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,High,Biointegrity,CSCI,0.96,Biointegrity goal is higher than reference.
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Intermediate,Biointegrity,CSCI,0.75,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Low,Biointegrity,CSCI,0.64,Biointegrity goal is higher than reference.
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,High,Biointegrity,CSCI,1.1,Biointegrity goal is higher than reference.
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Intermediate,Biointegrity,CSCI,1,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Low,Biointegrity,CSCI,0.81,Biointegrity goal is higher than reference.
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,High,Biointegrity,CSCI,0.99,Biointegrity goal is higher than reference.
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Intermediate,Biointegrity,CSCI,0.78,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Low,Biointegrity,CSCI,0.66,Biointegrity goal is higher than reference.
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,High,Biointegrity,CSCI,0.53,
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Intermediate,Biointegrity,CSCI,0.45,
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Low,Biointegrity,CSCI,0.37,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,High,Biointegrity,ASCI_D,0.94,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Intermediate,Biointegrity,ASCI_D,0.86,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Low,Biointegrity,ASCI_D,0.75,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,High,Biointegrity,ASCI_D,0.97,Biointegrity goal is higher than reference.
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Intermediate,Biointegrity,ASCI_D,0.91,Biointegrity goal is higher than reference.
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Low,Biointegrity,ASCI_D,0.8,Biointegrity goal is higher than reference.
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,High,Biointegrity,ASCI_D,0.94,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Intermediate,Biointegrity,ASCI_D,0.81,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Low,Biointegrity,ASCI_D,0.61,
